Intensity Minutes Weekly Total
,Actual,Goal
2021-12-27,432,150
2022-01-03,469,150
2022-01-10,667,150
2022-01-17,557,150
2022-01-24,518,150
2022-01-31,462,150
2022-02-07,575,150
2022-02-14,550,150
2022-02-21,521,150
2022-02-28,670,150
2022-03-07,453,150
2022-03-14,437,150
2022-03-21,606,150
2022-03-28,387,150
2022-04-04,379,150
2022-04-11,435,150
2022-04-18,481,150
2022-04-25,476,150
2022-05-02,524,150
2022-05-09,515,150
2022-05-16,380,150
2022-05-23,447,150
2022-05-30,595,150
2022-06-06,596,150
2022-06-13,486,150
2022-06-20,489,150
2022-06-27,497,150
2022-07-04,642,150
2022-07-11,193,150
2022-07-18,405,150
2022-07-25,484,150
2022-08-01,400,150
2022-08-08,275,150
2022-08-15,319,150
2022-08-22,377,150
2022-08-29,351,150
2022-09-05,374,150
2022-09-12,377,150
2022-09-19,298,150
2022-09-26,332,150
2022-10-03,417,150
2022-10-10,469,150
2022-10-17,317,150
2022-10-24,540,150
2022-10-31,438,150
2022-11-07,621,150
2022-11-14,459,150
2022-11-21,399,150
2022-11-28,424,150
2022-12-05,377,150
2022-12-12,181,150
2022-12-19,82,150
