,Resting Heart Rate
21 Dec,54
28 Dec,55
4 Jan,53
11 Jan,53
18 Jan,53
25 Jan,50
1 Feb,51
8 Feb,53
15 Feb,51
22 Feb,55
1 Mar,53
8 Mar,54
15 Mar,55
22 Mar,54
29 Mar,55
5 Apr,55
12 Apr,54
19 Apr,56
26 Apr,54
3 May,54
10 May,53
17 May,56
24 May,56
31 May,55
7 Jun,54
14 Jun,54
21 Jun,53
28 Jun,54
5 Jul,53
12 Jul,54
19 Jul,56
26 Jul,56
2 Aug,54
9 Aug,54
16 Aug,54
23 Aug,54
30 Aug,55
6 Sep,55
13 Sep,54
20 Sep,53
27 Sep,52
4 Oct,53
11 Oct,53
18 Oct,53
25 Oct,54
1 Nov,54
8 Nov,53
15 Nov,52
22 Nov,54
29 Nov,53
6 Dec,55
13 Dec,56
