,Stress
21 Dec,27
28 Dec,28
4 Jan,28
11 Jan,27
18 Jan,25
25 Jan,23
1 Feb,23
8 Feb,26
15 Feb,22
22 Feb,28
1 Mar,26
8 Mar,26
15 Mar,27
22 Mar,24
29 Mar,25
5 Apr,24
12 Apr,25
19 Apr,23
26 Apr,24
3 May,21
10 May,22
17 May,29
24 May,26
31 May,31
7 Jun,25
14 Jun,28
21 Jun,26
28 Jun,24
5 Jul,25
12 Jul,28
19 Jul,27
26 Jul,26
2 Aug,23
9 Aug,24
16 Aug,21
23 Aug,20
30 Aug,23
6 Sep,24
13 Sep,22
20 Sep,21
27 Sep,20
4 Oct,24
11 Oct,22
18 Oct,20
25 Oct,23
1 Nov,23
8 Nov,25
15 Nov,22
22 Nov,24
29 Nov,24
6 Dec,24
13 Dec,31
